,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
12252,tt0034583,movie,Casablanca,1942,102,"['Drama', 'Romance', 'War']",8.5,578015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22712,tt0050083,movie,12 Angry Men,1957,96,"['Crime', 'Drama']",9.0,801467,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25784,tt0054215,movie,Psycho,1960,109,"['Horror', 'Mystery', 'Thriller']",8.5,679732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
30145,tt0060196,movie,"The Good, the Bad and the Ugly",1966,161,"['Adventure', 'Western']",8.8,769762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31798,tt0062622,movie,2001: A Space Odyssey,1968,149,"['Adventure', 'Sci-Fi']",8.3,677625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34897,tt0066921,movie,A Clockwork Orange,1971,136,"['Crime', 'Sci-Fi']",8.3,839547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36195,tt0068646,movie,The Godfather,1972,175,"['Crime', 'Drama']",9.2,1884178,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38310,tt0071562,movie,The Godfather Part II,1974,202,"['Crime', 'Drama']",9.0,1286064,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38549,tt0071853,movie,Monty Python and the Holy Grail,1975,91,"['Adventure', 'Comedy', 'Fantasy']",8.2,547449,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39483,tt0073195,movie,Jaws,1975,124,"['Adventure', 'Thriller']",8.1,616338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39683,tt0073486,movie,One Flew Over the Cuckoo's Nest,1975,133,['Drama'],8.7,1017838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40870,tt0075148,movie,Rocky,1976,120,"['Drama', 'Sport']",8.1,588640,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40999,tt0075314,movie,Taxi Driver,1976,114,"['Crime', 'Drama']",8.2,848878,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42002,tt0076759,movie,Star Wars: Episode IV - A New Hope,1977,121,"['Action', 'Adventure', 'Fantasy']",8.6,1378812,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43319,tt0078748,movie,Alien,1979,117,"['Horror', 'Sci-Fi']",8.5,893432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43353,tt0078788,movie,Apocalypse Now,1979,147,"['Drama', 'Mystery', 'War']",8.5,675618,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
44741,tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,1980,124,"['Action', 'Adventure', 'Fantasy']",8.7,1306427,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45373,tt0081505,movie,The Shining,1980,146,"['Drama', 'Horror']",8.4,1036148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46417,tt0082971,movie,Indiana Jones and the Raiders of the Lost Ark,1981,115,"['Action', 'Adventure']",8.4,976886,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46843,tt0083658,movie,Blade Runner,1982,117,"['Action', 'Drama', 'Sci-Fi']",8.1,779836,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48631,tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,1983,131,"['Action', 'Adventure', 'Fantasy']",8.3,1065561,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48679,tt0086250,movie,Scarface,1983,170,"['Crime', 'Drama']",8.3,854339,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50040,tt0088247,movie,The Terminator,1984,107,"['Action', 'Sci-Fi']",8.1,876584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50271,tt0088763,movie,Back to the Future,1985,116,"['Adventure', 'Comedy', 'Sci-Fi']",8.5,1222151,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51535,tt0090605,movie,Aliens,1986,137,"['Action', 'Adventure', 'Sci-Fi']",8.4,725790,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53240,tt0093058,movie,Full Metal Jacket,1987,116,"['Drama', 'War']",8.3,751112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54582,tt0095016,movie,Die Hard,1988,132,"['Action', 'Thriller']",8.2,894097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55260,tt0095953,movie,Rain Man,1988,133,['Drama'],8.0,521644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55774,tt0096874,movie,Back to the Future Part II,1989,108,"['Adventure', 'Comedy', 'Sci-Fi']",7.8,541892,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55993,tt0097165,movie,Dead Poets Society,1989,128,"['Comedy', 'Drama']",8.1,501563,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56288,tt0097576,movie,Indiana Jones and the Last Crusade,1989,127,"['Action', 'Adventure']",8.2,763794,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57681,tt0099685,movie,Goodfellas,1990,145,"['Biography', 'Crime', 'Drama']",8.7,1176566,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57751,tt0099785,movie,Home Alone,1990,103,"['Comedy', 'Family']",7.7,599360,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59846,tt0102926,movie,The Silence of the Lambs,1991,118,"['Crime', 'Drama', 'Thriller']",8.6,1450100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59935,tt0103064,movie,Terminator 2: Judgment Day,1991,137,"['Action', 'Sci-Fi']",8.6,1111508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61271,tt0105236,movie,Reservoir Dogs,1992,99,"['Crime', 'Thriller']",8.3,1031552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62349,tt0107048,movie,Groundhog Day,1993,101,"['Comedy', 'Drama', 'Fantasy']",8.1,643584,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62519,tt0107290,movie,Jurassic Park,1993,127,"['Action', 'Adventure', 'Sci-Fi']",8.2,1002228,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63024,tt0108052,movie,Schindler's List,1993,195,"['Biography', 'Drama', 'History']",9.0,1370331,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64019,tt0109830,movie,Forrest Gump,1994,142,"['Drama', 'Romance']",8.8,2107970,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64362,tt0110357,movie,The Lion King,1994,88,"['Adventure', 'Animation', 'Drama']",8.5,1071960,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64404,tt0110413,movie,Léon: The Professional,1994,110,"['Action', 'Crime', 'Drama']",8.5,1175733,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64729,tt0110912,movie,Pulp Fiction,1994,154,"['Crime', 'Drama']",8.9,2082795,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64912,tt0111161,movie,The Shawshank Redemption,1994,142,['Drama'],9.3,2712740,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
